evaluations raw_y
1 43814.0024412015
2 22544.7678600423
8 18698.6458877380
12 18029.4804759187
15 16843.6912898596
19 16715.8311978613
25 16714.1614291639
26 16713.8567927424
27 16713.5775043605
28 16713.3939913546
29 16713.2597430146
30 16713.1592916887
31 16713.0841250170
32 16713.0279014395
33 16712.9864253874
34 16712.9570813445
35 16712.9372271460
36 16712.9252749352
37 16712.9186263282
38 16712.9175538868
42 16712.3084138712
45 16712.3069318026
46 16712.2644233073
47 16712.2337186365
48 16712.1987722048
49 16712.1621493763
50 16712.1182455714
52 16711.5900244430
98 16711.5897496296
99 16711.5852500990
100 16711.5811955398
evaluations raw_y
1 19033.0474505951
4 17580.1389927934
11 16707.7392000091
17 16124.1987797252
24 15843.7757800911
27 15777.4164711632
29 15761.0830331016
30 15759.5351819851
32 15756.4767293021
67 15756.4109062920
68 15756.1394418649
69 15755.8839508968
70 15755.6559715853
71 15755.4640374643
72 15755.3123238455
73 15755.1987735370
74 15755.1161356315
75 15755.0565593472
76 15755.0134190033
77 15754.9821159601
78 15754.9591420694
79 15754.9416793053
80 15754.9292528466
81 15754.9197696810
82 15754.9128503837
83 15754.9073949505
84 15754.9036853049
85 15754.9004891987
86 15754.8979666681
87 15754.8970242460
88 15754.8955850407
89 15754.8943964272
90 15754.8936138901
91 15754.8927839024
92 15754.8917627545
93 15754.8907365158
94 15754.8899460547
95 15754.8889795899
96 15754.8878997109
97 15754.8865518476
98 15754.8852634650
100 15754.7709101625
evaluations raw_y
1 212174.8948925446
2 26303.3963499677
3 20123.3979659380
6 8418.1653249739
7 7258.5020280373
12 6635.7328865780
14 5261.5952014098
18 5259.5772134943
19 5259.5489497143
71 5259.4483150418
72 5259.0695647064
73 5258.6555834477
74 5258.2444993527
75 5257.8238502040
76 5257.3470336628
77 5256.7870235531
78 5256.0818410475
79 5255.0214645601
80 5252.2974364598
81 5250.9364225659
82 5250.8673481949
100 5251.3347763013
evaluations raw_y
1 34157.0265330220
2 22249.0110848988
4 3610.9300871545
14 3349.6977538826
20 3338.4544184516
23 3337.9987528827
25 3337.9841036554
26 3337.9797335640
100 3338.1447766951
evaluations raw_y
1 20637.6339212244
4 12360.2756937236
5 10079.7790142824
12 10030.1510099054
15 7980.6532332310
17 7824.3630876286
18 7819.8493829080
40 7819.8492867467
100 7819.8520416060
