evaluations raw_y
1 17376.2987057011
20 3154.6350641011
87 2010.2626273065
123 893.6101211125
132 451.1104336635
evaluations raw_y
1 17376.2987057011
131 16659.8507619515
132 8464.3134942476
135 4257.2598358064
148 4122.3253564961
151 3782.0789119628
154 2581.1318475105
165 15289.7406317031
evaluations raw_y
1 17376.2987057011
11 3154.6350641011
77 2940.5764130217
117 779.0892622143
122 4888.4020685413
evaluations raw_y
1 17376.2987057011
11 3154.6350641011
131 2428.8505126283
158 2250.9343845108
159 824.5661574024
179 3988.1262521740
evaluations raw_y
1 17376.2987057011
47 3042.8621301565
85 456.6642497642
120 9372.0908662458
