evaluations raw_y
1 65.9026071874
5 53.7352014084
6 52.1089831324
8 39.0781519919
9 36.1551830809
11 36.1325702947
12 36.1081518028
17 36.1081515365
18 36.1081508683
19 36.1081505927
20 36.1081504204
evaluations raw_y
1 135.4637671133
2 38.8613397711
4 29.5923388308
7 29.5080903358
20 39.6120979956
evaluations raw_y
1 19.5430087288
8 16.6764217278
13 16.3607640326
20 16.3635289175
evaluations raw_y
1 51.3807765640
4 50.7142614124
13 46.5758636095
14 43.1945807792
19 43.1705037859
20 43.1648585699
evaluations raw_y
1 56.7685959069
9 56.6517123399
12 56.6509078700
13 56.6509062711
14 56.6509052070
15 56.6509045422
16 56.6509040123
17 56.6509035876
18 56.6509032150
19 56.6509028748
20 56.6509025692
