evaluations raw_y
1 45230861.8595256135
12 21174408.0932336561
181 124025510.4041868299
evaluations raw_y
1 45230861.8595256135
20 21174408.0932336561
186 120729960.1643393636
evaluations raw_y
1 45230861.8595256135
13 34788603.6020174325
43 21845470.6767445728
47 21502813.1402158774
148 134148274.2352156639
evaluations raw_y
1 45230861.8595256135
20 21174408.0932336561
179 450275505.2548090219
evaluations raw_y
1 45230861.8595256135
11 21174408.0932336561
121 118321596.2891176939
