evaluations raw_y
1 45230861.8595256135
12 21174408.0932336561
175 5018683.2542483481
179 68302774.6700055152
evaluations raw_y
1 45230861.8595256135
12 42822903.5976139978
17 34788603.6020174325
26 14279691.7987386305
115 13542534.5077098105
124 118975728.8861130476
evaluations raw_y
1 45230861.8595256135
16 42822903.5976139978
17 34788603.6020174325
20 21174408.0932336561
121 170035440.9411441684
evaluations raw_y
1 45230861.8595256135
13 21174408.0932336561
121 1071853486.0567827225
evaluations raw_y
1 45230861.8595256135
16 42822903.5976139978
19 21174408.0932336561
131 292199087.0909119844
