evaluations raw_y
1 17376.2987057011
45 3128.7744539960
70 2510.6138576431
114 1448.3858359348
117 1000.8923316167
evaluations raw_y
1 17376.2987057011
78 3192.4249460824
92 2853.6499109541
103 2245.0374690353
128 4467.3296199919
evaluations raw_y
1 17376.2987057011
58 16460.0287535282
65 5354.2509469402
118 3907.3952718939
120 1514.7095789380
121 2967.2077459837
evaluations raw_y
1 17376.2987057011
15 3154.6350641011
90 1961.7187899193
119 3990.7675898010
evaluations raw_y
1 17376.2987057011
19 3154.6350641011
39 3091.9540532517
84 2918.3298549618
104 2855.7359688499
117 1847.2053877563
124 2336.2000386793
