evaluations raw_y
1 75.4101203473
2 65.7956585481
6 60.9128310432
11 57.2588043645
14 55.5734200868
21 55.5373365180
63 55.5373173468
66 55.5373164404
71 55.5372745329
76 55.5372517911
77 55.5372517068
100 55.5373520486
evaluations raw_y
1 68.9848375283
4 68.9498372344
7 67.1582816325
11 65.8921000613
13 65.8073593808
14 65.7946462543
26 63.6680722022
30 61.8616864015
32 61.2849854263
36 61.2722232054
37 61.2722115186
100 69.4417482638
evaluations raw_y
1 83.3815705628
2 67.5051605090
10 66.6612394218
16 65.8961436869
19 65.8762764351
20 65.8499530742
26 65.8394093424
100 65.8394145265
evaluations raw_y
1 71.2901922482
3 71.2064158481
4 69.9718845956
5 63.9462246570
7 62.3370207742
8 59.2147006269
17 59.1933694447
24 59.1930204500
25 59.1930011638
26 59.1929972793
29 56.8158798423
30 56.6745915745
35 56.6701061682
57 56.6700988269
61 56.6700898583
67 56.6700851611
70 56.6700837331
72 56.6700836051
100 56.6700904204
evaluations raw_y
1 78.9410617464
2 73.2867047599
6 71.7555440481
12 71.2563214677
18 70.5308389988
21 70.3695950271
23 69.0951427296
24 68.7093682498
25 67.2571812873
26 66.2773111104
27 65.1934311634
28 63.9914252356
29 63.8396615714
30 63.2176147614
31 62.9643386899
32 62.8993480041
34 62.8548554520
36 62.8524948022
40 62.8518673992
100 62.8519828451
