evaluations raw_y
1 199668763.4243828654
3 167627201.8342987895
4 122938542.5638944060
5 93761039.7982316464
20 93761039.7982316464
evaluations raw_y
1 160025940.7491218746
4 135765541.4005396068
20 135765541.4005396068
evaluations raw_y
1 200308365.5300123692
3 175263321.3297737539
4 161285928.9110873640
20 161285928.9110873640
evaluations raw_y
1 284000003.2309709787
2 246571317.0011741221
3 236066589.0604073703
4 217350762.2514288127
20 218887395.1249473095
evaluations raw_y
1 93351323.7192276567
3 40509505.7421583831
4 11978190.8851906098
20 11978190.8851906098
