evaluations raw_y
1 37.0568106333
4 36.5137951653
6 30.0251278872
20 30.0251278872
evaluations raw_y
1 34.8275121510
3 22.1730947755
6 16.9522212276
7 16.7148043028
8 16.6162496400
10 15.9495615771
20 15.9347847524
evaluations raw_y
1 52.1619474778
5 31.2557237534
14 30.0189265227
20 88.0289386860
evaluations raw_y
1 99.7426786157
2 72.9499416742
3 43.3420908037
8 40.7043615272
10 40.2354471637
11 39.0023494830
20 41.6768578657
evaluations raw_y
1 34.1619547415
3 24.1376380878
5 24.0669343835
6 23.7867608644
14 23.7657904618
15 23.7608754503
16 23.7581835726
17 23.7563566341
18 23.7550003986
20 206.9810955574
