evaluations raw_y
1 1.0769675360
3 0.9244296019
4 0.8607991479
5 0.8178452734
7 0.8176704674
20 0.8176987789
evaluations raw_y
1 2.7558384726
2 2.0600819404
4 1.6535641131
5 1.1641726000
6 1.0601593104
8 1.0495188259
13 1.0495171302
14 1.0494997068
15 1.0494928423
16 1.0494894755
17 1.0494874569
18 1.0494861512
19 1.0494852774
20 1.0494846829
evaluations raw_y
1 1.5154097021
2 0.8897534354
5 0.8847366060
6 0.8846325961
7 0.8846312047
8 0.8846301543
9 0.8846298255
10 0.8846297876
20 0.8846326519
evaluations raw_y
1 2.4326746945
2 1.3122837029
3 1.1504624250
6 1.1401576143
7 1.1395077910
8 1.1395025021
9 1.1394923966
10 1.1394868625
11 1.1394838016
12 1.1394823360
13 1.1394819326
20 1.1394891854
evaluations raw_y
1 3.8966253319
2 0.5028196193
3 0.1875794779
5 0.1636911734
6 0.1615983780
20 0.1616099452
